slug	work_id	title	author	author_id	cts_urn	tlg	wikidata	source	edition	license	passages	tokens	tokens_lemmatized	correction	unattested_rate	scheme_class	scheme	scheme_depth	serving_deficit	sha256
abas.fragmenta	ogc000001	Fragmenta	abas	oga000001				dfhg	dfhg	CC-BY-SA-4.0	1	83	74	not-ocr		logical-numeric	ref.sub	2		5d7ea2b5cba7e8379a7bc6fa4edb60738f620694265a9f2ed4ec1507d4c6fe86
abron-vel-habron-batiensis.fragmenta	ogc000002	Fragmenta	abron-vel-habron-batiensis	oga000002				dfhg	dfhg	CC-BY-SA-4.0	1	16	16	not-ocr		logical-numeric	ref.sub	2		10801392fc846c19e187613642fc2aa500a0a8962c6dd1935580578714edbd45
abydenus.fragmenta	ogc000003	Fragmenta	Abydenus	oga000003	urn:cts:greekLit:tlg0116.tlg001	tlg0116.tlg001		dfhg	dfhg	CC-BY-SA-4.0	6	712	684	not-ocr		mixed				f4d02e7d03445d35ecebdff0e1bd7add055592cbf061b43d4e3ebf3ada02a214
acesander.fragmenta	ogc000004	Fragmenta	Acesander	oga000004	urn:cts:greekLit:tlg1832.tlg001	tlg1832.tlg001		dfhg	dfhg	CC-BY-SA-4.0	7	323	318	not-ocr		logical-numeric	ref.sub	2		831f652217f1d0482a3536da9206b34f7a7eb47061b88f7b117a473452c9891a
achaeus.fragmenta	ogc000005	Fragmenta	Achaeus	oga000005	urn:cts:greekLit:tlg0309.tlg001	tlg0309.tlg001		ocr	nauck-tgf-ocr-frag	PD	52	1396	1374	raw-ocr	0.263158	logical-numeric	ref	1		54cea6e5c60658709f2eae7c98507c63a91b4e76bb1a7cd1942b3724950179e9
achaeus.fragmenta-fhg4	ogc000006	Fragmenta	Achaeus	oga000005				dfhg	dfhg	CC-BY-SA-4.0	1	74	74	not-ocr		logical-numeric	ref.sub	2		1a6c7156b82868c54b92780369049af22f6fca6995d5e0bf794498b75a626df3
achilles-tatius-scr-erot.leucippe-et-clitophon	ogc000007	Leucippe Et Clitophon	Achilles Tatius	oga000006	urn:cts:greekLit:tlg0532.tlg001	tlg0532.tlg001	Q1225163	perseus	perseus-grc2	CC-BY-SA-4.0	1035	41517	41244	not-ocr		logical-numeric	ref.sub.sub	3		792a7c109bf1d887b0f7a21264b39864ac8fa1a45368bd783acdc8b5c7f31014
acta-barnabae.acta-barnabae	ogc000008	Acta Barnabae	Acta Barnabae	oga000007	urn:cts:greekLit:tlg2949.tlg001	tlg2949.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	26	2152	2111	not-ocr		logical-numeric	ref	1		ccd2bf2964214f1766ef7560bee599604769b0f76b1e03c39ece11812eeba806
acta-joannis.acta-joannis	ogc000009	Acta Joannis	Acta Joannis	oga000008	urn:cts:greekLit:tlg0317.tlg001	tlg0317.tlg001		first1k	1st1K-grc1	CC-BY-SA-4.0	110	12397	12121	not-ocr		logical-numeric	ref	1		00c8f86856118b9068978f6e786832479b4495957332dd94e4ad9a341a8f6f52
acta-joannis.acta-joannis-recensio	ogc000010	Acta Joannis (Recensio)	Acta Joannis	oga000008	urn:cts:greekLit:tlg0317.tlg002	tlg0317.tlg002		first1k	1st1K-grc1	CC-BY-SA-4.0	35	2484	2440	not-ocr		logical-numeric	ref	1		54fb12e1801233fcfb094dea7c69e838b1fb684302d551c8347411d8ab06992b
