slug	cts_urn	tlg
abydenus.fragmenta	urn:cts:greekLit:tlg0116.tlg001	tlg0116.tlg001
acesander.fragmenta	urn:cts:greekLit:tlg1832.tlg001	tlg1832.tlg001
achaeus.fragmenta	urn:cts:greekLit:tlg0309.tlg001	tlg0309.tlg001
achilles-tatius-scr-erot.leucippe-et-clitophon	urn:cts:greekLit:tlg0532.tlg001	tlg0532.tlg001
acta-barnabae.acta-barnabae	urn:cts:greekLit:tlg2949.tlg001	tlg2949.tlg001
acta-joannis.acta-joannis	urn:cts:greekLit:tlg0317.tlg001	tlg0317.tlg001
acta-joannis.acta-joannis-recensio	urn:cts:greekLit:tlg0317.tlg002	tlg0317.tlg002
acta-justini-et-septem-sodalium.acta-justini-et-septem-sodalium-recensio-b	urn:cts:greekLit:tlg0384.tlg002	tlg0384.tlg002
acta-philippi.acta-philippi	urn:cts:greekLit:tlg2948.tlg001	tlg2948.tlg001
acta-thomae.acta-thomae	urn:cts:greekLit:tlg2038.tlg001	tlg2038.tlg001
acusilaus.testimonia	urn:cts:greekLit:tlg0392.tlg001	tlg0392.tlg001
acusilaus.testimonia-2	urn:cts:greekLit:tlg0392.tlg003	tlg0392.tlg003
adamantius-judaeus.physiognomonica	urn:cts:greekLit:tlg0731.tlg001	tlg0731.tlg001
adamantius-judaeus.physiognomonica-epitome-matritensis	urn:cts:greekLit:tlg0731.tlg003	tlg0731.tlg003
adrianus.declamatio	urn:cts:greekLit:tlg0666.tlg001	tlg0666.tlg001
aelius-aristides.ai-gu-ptios	urn:cts:greekLit:tlg0284.tlg048	tlg0284.tlg048
aelius-aristides.apella-geneqliako-s	urn:cts:greekLit:tlg0284.tlg010	tlg0284.tlg010
aelius-aristides.aqhna	urn:cts:greekLit:tlg0284.tlg002	tlg0284.tlg002
aelius-aristides.ars-rhetorica-sp	urn:cts:greekLit:tlg0284.tlg056	tlg0284.tlg056
aelius-aristides.asklhpia-dai	urn:cts:greekLit:tlg0284.tlg007	tlg0284.tlg007
aelius-aristides.dio-nusos	urn:cts:greekLit:tlg0284.tlg004	tlg0284.tlg004
aelius-aristides.ei-s-ai-gai-on-pe-lagos	urn:cts:greekLit:tlg0284.tlg017	tlg0284.tlg017
aelius-aristides.ei-s-basile-sp	urn:cts:greekLit:tlg0284.tlg009	tlg0284.tlg009
aelius-aristides.ei-s-di	urn:cts:greekLit:tlg0284.tlg001	tlg0284.tlg001
aelius-aristides.ei-s-e-nanti-on	urn:cts:greekLit:tlg0284.tlg030	tlg0284.tlg030
aelius-aristides.ei-s-etewne-e-pikh-deios	urn:cts:greekLit:tlg0284.tlg011	tlg0284.tlg011
aelius-aristides.ei-s-fre-ar-tou-asklhpiou	urn:cts:greekLit:tlg0284.tlg018	tlg0284.tlg018
aelius-aristides.ei-s-n-sa-rapin	urn:cts:greekLit:tlg0284.tlg008	tlg0284.tlg008
aelius-aristides.eleusi-nios	urn:cts:greekLit:tlg0284.tlg019	tlg0284.tlg019
aelius-aristides.epi-aleca-ndrw-e-pita-fios	urn:cts:greekLit:tlg0284.tlg012	tlg0284.tlg012
aelius-aristides.epistolh-peri-smu-rnhs	urn:cts:greekLit:tlg0284.tlg041	tlg0284.tlg041
aelius-aristides.hraklh-s	urn:cts:greekLit:tlg0284.tlg005	tlg0284.tlg005
aelius-aristides.ieroi-lo-goi	urn:cts:greekLit:tlg0284.tlg023	tlg0284.tlg023
aelius-aristides.ieroi-lo-goi-b	urn:cts:greekLit:tlg0284.tlg024	tlg0284.tlg024
aelius-aristides.ieroi-lo-goi-d	urn:cts:greekLit:tlg0284.tlg026	tlg0284.tlg026
aelius-aristides.ieroi-lo-goi-e	urn:cts:greekLit:tlg0284.tlg027	tlg0284.tlg027
aelius-aristides.ieroi-lo-goi-g	urn:cts:greekLit:tlg0284.tlg025	tlg0284.tlg025
aelius-aristides.ieroi-lo-goi-s	urn:cts:greekLit:tlg0284.tlg028	tlg0284.tlg028
aelius-aristides.isqmiko-s-ei-s-poseidw-na	urn:cts:greekLit:tlg0284.tlg003	tlg0284.tlg003
aelius-aristides.kata-tw-n-e-corxoume-nwn	urn:cts:greekLit:tlg0284.tlg050	tlg0284.tlg050
aelius-aristides.lalia-ei-s-asklhpio-n	urn:cts:greekLit:tlg0284.tlg006	tlg0284.tlg006
aelius-aristides.leuktriko-s-b-u-pe-r-qhbai-wn-prw-tos	urn:cts:greekLit:tlg0284.tlg034	tlg0284.tlg034
aelius-aristides.leuktriko-s-d-u-pe-r-qhbai-wn-deu-teros	urn:cts:greekLit:tlg0284.tlg036	tlg0284.tlg036
aelius-aristides.leuktriko-s-e-u-pe-r-mhdete-rois-bohqei-n	urn:cts:greekLit:tlg0284.tlg037	tlg0284.tlg037
aelius-aristides.leuktriko-s-g-u-pe-r-lakedaimoni-wn-deu-teros	urn:cts:greekLit:tlg0284.tlg035	tlg0284.tlg035
aelius-aristides.leuktriko-s-u-pe-r-lakedaimoni-wn-prw-tos	urn:cts:greekLit:tlg0284.tlg033	tlg0284.tlg033
aelius-aristides.monw-di-e-pi-smu-rnh	urn:cts:greekLit:tlg0284.tlg020	tlg0284.tlg020
aelius-aristides.palinw-di-e-pi-smu-rnh-kai-tw-tau-ths-noikismw	urn:cts:greekLit:tlg0284.tlg021	tlg0284.tlg021
aelius-aristides.panaqhnai-ko-s	urn:cts:greekLit:tlg0284.tlg013	tlg0284.tlg013
aelius-aristides.panhguriko-s-e-n-kuzi-kw-peri-tou-naou	urn:cts:greekLit:tlg0284.tlg016	tlg0284.tlg016
aelius-aristides.panhguriko-s-e-pi-tw-u-dati-e-n-perga-mw	urn:cts:greekLit:tlg0284.tlg055	tlg0284.tlg055
aelius-aristides.peri-o-monoi-as-tai-s-po-lesin	urn:cts:greekLit:tlg0284.tlg042	tlg0284.tlg042
aelius-aristides.peri-tou-parafqe-gmatos	urn:cts:greekLit:tlg0284.tlg049	tlg0284.tlg049
aelius-aristides.peri-tou-pe-mpein-boh-qeian-toi-s-e-n-sikeli	urn:cts:greekLit:tlg0284.tlg029	tlg0284.tlg029
aelius-aristides.presbeutiko-s-pro-s-axille	urn:cts:greekLit:tlg0284.tlg052	tlg0284.tlg052
aelius-aristides.pro-s-dhmosqe-nh-peri-telei-as	urn:cts:greekLit:tlg0284.tlg053	tlg0284.tlg053
aelius-aristides.pro-s-kapi-twna	urn:cts:greekLit:tlg0284.tlg047	tlg0284.tlg047
aelius-aristides.pro-s-lepti-nhn-u-pe-r-telei-as	urn:cts:greekLit:tlg0284.tlg054	tlg0284.tlg054
aelius-aristides.pro-s-pla-twna-peri-r-htorikh-s	urn:cts:greekLit:tlg0284.tlg045	tlg0284.tlg045
aelius-aristides.pro-s-pla-twna-u-pe-r-tw-n-tetta-rwn	urn:cts:greekLit:tlg0284.tlg046	tlg0284.tlg046
aelius-aristides.pro-s-tou-s-ai-tiwme-nous-o-ti-mh-meletw-h	urn:cts:greekLit:tlg0284.tlg051	tlg0284.tlg051
aelius-aristides.prosfwnhtiko-s-smurnai-ko-s	urn:cts:greekLit:tlg0284.tlg022	tlg0284.tlg022
aelius-aristides.rodi-ois-peri-o-monoi-as	urn:cts:greekLit:tlg0284.tlg044	tlg0284.tlg044
aelius-aristides.rodiako-s-sp	urn:cts:greekLit:tlg0284.tlg043	tlg0284.tlg043
aelius-aristides.rw-mhs-e-gkw-mion	urn:cts:greekLit:tlg0284.tlg014	tlg0284.tlg014
aelius-aristides.smurnai-ko-s-politiko-s	urn:cts:greekLit:tlg0284.tlg015	tlg0284.tlg015
aelius-aristides.sumbouleutiko-s-peri-tou-mh-dei-n-kwmw-dei-n	urn:cts:greekLit:tlg0284.tlg040	tlg0284.tlg040
aelius-aristides.summaxiko-s	urn:cts:greekLit:tlg0284.tlg038	tlg0284.tlg038
aelius-aristides.summaxiko-s-b-pro-s-qhbai-ous-peri-th-s-summaxi-as	urn:cts:greekLit:tlg0284.tlg039	tlg0284.tlg039
